speaker,word,plt_vclass,year,age,dob,frequency,dur,F1_n,F2_n,Diag
PH00-1-1-,maybe,ey,2000,21,1979,926.45,0.11,-0.763805192598665,1.08626284217076,1.85006803476943
PH00-1-1-,paid,ey,2000,21,1979,85.67,0.13,-0.33579617622075,1.45350896214146,1.78930513836221
PH00-1-1-,mate,ey,2000,21,1979,29.24,0.1,-0.868623727221828,1.2799540072728,2.14857773449463
PH00-1-1-,hate,ey,2000,21,1979,214.59,0.12,-1.257949712965,2.77386903315881,4.03181874612381
PH00-1-1-,neighborhood,ey,2000,21,1979,36.69,0.12,-1.19181420897658,1.37967619128573,2.57149040026231
PH00-1-1-,play,ey,2000,21,1979,354.53,0.09,0.566391925357187,-0.0790803722880319,-0.645472297645219
PH00-1-1-,take,ey,2000,21,1979,1891.04,0.081,-0.379470565647068,1.3080807771226,1.68755134276967
PH00-1-1-,bakery,ey,2000,21,1979,3.51,0.09,-0.940998429699726,0.829925689675986,1.77092411937571
PH00-1-1-,neighborhood,ey,2000,21,1979,36.69,0.139,-0.61406442885129,0.822254752444222,1.43631918129551
PH00-1-1-,game,ey,2000,21,1979,233.84,0.11,-1.16685741501868,2.20558043323897,3.37243784825765
PH00-1-1-,skate,ey,2000,21,1979,5.9,0.09,-1.26418891145448,1.71176384894417,2.97595276039865
PH00-1-1-,eighth,ey,2000,21,1979,6.86,0.09,-0.592851153987078,0.748102359203838,1.34095351319092
PH00-1-1-,game,ey,2000,21,1979,233.84,0.08,-1.12068734619658,2.60638690359863,3.72707424979521
PH00-1-1-,same,ey,2000,21,1979,417.18,0.05,-0.8274450171913,1.29082116835113,2.11826618554243
PH00-1-1-,game,ey,2000,21,1979,233.84,0.16,-0.985920658823939,3.13280497112843,4.11872562995237
PH00-1-1-,made,ey,2000,21,1979,561.29,0.179,-1.02585152915657,1.88883465004406,2.91468617920063
PH00-1-1-,play,ey,2000,21,1979,354.53,0.071,-0.537946207279708,2.35644219879699,2.8943884060767
PH00-1-1-,take,ey,2000,21,1979,1891.04,0.13,-0.373231367157594,1.27707740581089,1.65030877296848
PH00-1-1-,play,ey,2000,21,1979,354.53,0.141,0.0410514125434775,-0.0151558953566664,-0.0562073079001439
PH00-1-1-,maybe,ey,2000,21,1979,926.45,0.07,-0.475554222384968,0.44765731762642,0.923211540011388
PH00-1-1-,take,ey,2000,21,1979,1891.04,0.07,-0.383214084740753,1.18087106802918,1.56408515276993
PH00-1-1-,same,ey,2000,21,1979,417.18,0.09,-1.07202159797868,0.922616181226466,1.99463777920515
PH00-1-1-,main,ey,2000,21,1979,42.73,0.069,-0.499263176644969,1.65423181970594,2.15349499635091
PH00-1-1-,eight,ey,2000,21,1979,98.24,0.289,-1.44886918674291,1.82299243880475,3.27186162554766
PH00-1-1-,make,ey,2000,21,1979,1387.75,0.07,-0.807479582024983,1.27484004911829,2.08231963114327
PH00-1-1-,break,ey,2000,21,1979,221.08,0.1,-0.317078580752328,0.350811735075401,0.667890315827729
PH00-1-1-,gate,ey,2000,21,1979,32.04,0.08,-1.02460368945868,2.27653660263279,3.30114029209147
PH00-1-1-,skate,ey,2000,21,1979,5.9,0.111,-0.994655536709202,2.44785420080885,3.44250973751805
PH00-1-1-,make,ey,2000,21,1979,1387.75,0.08,-1.5699096374387,1.27899514011883,2.84890477755753
PH00-1-1-,stay,ey,2000,21,1979,515.65,0.08,-0.95222898698078,0.933163719920141,1.88539270690092
PH00-1-1-,same,ey,2000,21,1979,417.18,0.07,-0.717635123776558,1.28474834304265,2.00238346681921
PH00-1-1-,same,ey,2000,21,1979,417.18,0.06,-1.17184877381026,0.908872418686223,2.08072119249648
PH00-1-1-,same,ey,2000,21,1979,417.18,0.09,-0.259677954649167,1.22465933472717,1.48433728937634
PH00-1-1-,save,ey,2000,21,1979,162.31,0.069,-0.959716025168148,0.862207550526325,1.82192357569447
PH00-1-1-,neighborhood,ey,2000,21,1979,36.69,0.11,-0.763805192598665,1.3266188754327,2.09042406803137
PH00-1-1-,paycheck,ey,2000,21,1979,4.27,0.12,-0.2521909164618,1.00475913408327,1.25695005054507
PH00-1-1-,eighth,ey,2000,21,1979,6.86,0.12,-1.13191790347763,2.53894658043604,3.67086448391367
PH00-1-1-,saint,ey,2000,21,1979,17.92,0.05,-1.186822850185,0.679703168887277,1.86652601907228
PH00-1-1-,great,ey,2000,21,1979,820.86,0.05,-1.00339041459447,0.944989748152444,1.94838016274691
PH00-1-1-,make,ey,2000,21,1979,1387.75,0.079,-0.675208574048135,0.525645179482686,1.20085375353082
PH00-1-1-,game,ey,2000,21,1979,233.84,0.12,-0.379470565647068,2.4341104382686,2.81358100391567
PH00-1-1-,play,ey,2000,21,1979,354.53,0.13,0.355507016412967,0.234149564675659,-0.121357451737308
PH00-1-1-,same,ey,2000,21,1979,417.18,0.09,-0.837427734774459,1.1747982427207,2.01222597749516
PH00-1-1-,name,ey,2000,21,1979,641.86,0.13,-0.864880208128144,2.01125002336762,2.87613023149576
PH00-1-1-,game,ey,2000,21,1979,233.84,0.15,-1.17684013260184,2.64761819121936,3.8244583238212
PH00-1-1-,great,ey,2000,21,1979,820.86,0.12,-0.489280459061811,1.99814550559669,2.4874259646585
PH00-1-1-,grade,ey,2000,21,1979,29.27,0.08,-1.23673643810079,1.49697760645479,2.73371404455558
PH00-1-1-,day,ey,2000,21,1979,801.82,0.08,-1.08699567435342,1.0482277783966,2.13522345275002
PH00-1-1-,neighborhood,ey,2000,21,1979,36.69,0.07,-0.459332306312335,0.946907482460385,1.40623978877272
PH00-1-1-,skate,ey,2000,21,1979,5.9,0.05,-0.506750214832338,2.06718394068257,2.57393415551491
PH00-1-1-,eighth,ey,2000,21,1979,6.86,0.11,-0.97593794124078,1.10352245094223,2.07946039218301
PH00-1-1-,came,ey,2000,21,1979,463.73,0.06,-0.636525543413396,1.65327295255197,2.28979849596537
PH00-1-1-,same,ey,2000,21,1979,417.18,0.08,-1.14813981955026,0.743308023433985,1.89144784298425
PH00-1-1-,skate,ey,2000,21,1979,5.9,0.16,-0.878606444804986,2.15316236215525,3.03176880696024
PH00-1-1-,maybe,ey,2000,21,1979,926.45,0.13,-0.00636649597652419,1.36497356159151,1.37134005756803
PH00-1-1-,waiting,ey,2000,21,1979,211.12,0.059,-0.960963864866043,0.77814686336158,1.73911072822762
PH00-1-1-,game,ey,2000,21,1979,233.84,0.08,-0.753822475015507,2.16370990084893,2.91753237586444
PH00-1-1-,play,ey,2000,21,1979,354.53,0.12,-0.438119031448124,0.800840052672214,1.23895908412034
PH00-1-1-,terrain,ey,2000,21,1979,2.25,0.14,-0.438119031448124,1.11311112248194,1.55123015393006
PH00-1-1-,maybe,ey,2000,21,1979,926.45,0.07,-0.892332681481829,0.978869720926067,1.8712024024079
PH00-1-1-,day,ey,2000,21,1979,801.82,0.13,-0.997151216104992,1.0482277783966,2.04537899450159
PH00-1-2-,great,ey,2000,52,1948,820.86,0.081,-1.28249827384929,1.39379467522796,2.67629294907725
PH00-1-2-,name,ey,2000,52,1948,641.86,0.1,-0.0412416116558581,1.54275903309872,1.58400064475458
PH00-1-2-,upstate,ey,2000,52,1948,2.57,0.14,-0.499205259199001,0.50092806107668,1.00013332027568
PH00-1-2-,made,ey,2000,52,1948,561.29,0.06,-0.823908992907868,1.13540588163732,1.95931487454519
PH00-1-2-,able,ey,2000,52,1948,159.9,0.13,-0.413493483634232,0.148976777280178,0.56247026091441
PH00-1-2-,entertain,ey,2000,52,1948,6.14,0.07,-0.409114049846252,1.83057288503421,2.23968693488046
PH00-1-2-,daycare,ey,2000,52,1948,1.51,0.14,-0.426006151599892,0.575870006548698,1.00187615814859
PH00-1-2-,saint,ey,2000,52,1948,17.92,0.09,-0.111938185661835,1.17678486993476,1.2887230555966
PH00-1-2-,upstate,ey,2000,52,1948,2.57,0.21,-0.472928656471115,1.69839000575074,2.17131866222185
PH00-1-2-,baby,ey,2000,52,1948,509.37,0.23,-0.456662188115758,0.677708294414048,1.13437048252981
PH00-1-2-,basically,ey,2000,52,1948,26.02,0.1,-0.639972773812672,0.66736354733969,1.30733632115236
PH00-1-2-,parade,ey,2000,52,1948,12.88,0.19,-0.577409433984373,0.513111874297591,1.09052130828196
PH00-1-2-,amaze,ey,2000,52,1948,1.61,0.1,-0.561768599027299,1.22322129013521,1.78498988916251
PH00-1-2-,saint,ey,2000,52,1948,17.92,0.051,-0.110686918865269,0.960004947909871,1.07069186677514
PH00-1-2-,grade,ey,2000,52,1948,29.27,0.17,-0.740074117537949,0.722765415004587,1.46283953254254
PH00-1-2-,great,ey,2000,52,1948,820.86,0.05,-0.860821363406564,-0.109412016310462,0.751409347096102
PH00-1-2-,relate,ey,2000,52,1948,4.75,0.161,-0.432262485582721,0.730351562859116,1.16261404844184
PH00-1-2-,stay,ey,2000,52,1948,515.65,0.15,0.0801312676110402,1.60321833266664,1.5230870650556
PH00-1-2-,stay,ey,2000,52,1948,515.65,0.12,-0.877087831761921,0.918855842880757,1.79594367464268
